nivel,codigo,codigo_padre,etiqueta,notas
1,PT,,Transformadores de potencia,Clase de equipo ISO 14224
2,PT-NU,PT,Núcleo y devanados,
2,PT-AI,PT,Sistema de aislamiento y aceite,
2,PT-CM,PT,Control y protecciones,
1,SG,,Conjuntos de maniobra y control,Clase de equipo ISO 14224
2,SG-IN,SG,Interruptores y seccionadores,
2,SG-BA,SG,Barras y aislamiento,
2,SG-CM,SG,Protecciones y medición,
1,FS,,Detectores de fuego y gas,Clase de equipo ISO 14224
2,FS-DE,FS,Elemento detector,
2,FS-CM,FS,Lógica y señalización,
1,PV,,Sensores de proceso,Clase de equipo ISO 14224
2,PV-EL,PV,Elemento sensor,
2,PV-TR,PV,Transmisor,
1,CR,,Equipos de izaje,Clase de equipo ISO 14224
2,CR-ES,CR,Estructura,
2,CR-IZ,CR,Mecanismo de izaje,
2,CR-CM,CR,Control y seguridad,
