codigo_taxonomia,codigo_modo_iso,tipo_tarea,descripcion_tarea,oficio,cantidad_personas,frecuencia_valor,frecuencia_unidad,base_frecuencia,duracion_valor,duracion_unidad,estado_equipo,requiere_permiso,codigo_actividad
VA-VB-OBT,LCP,IVF,Probar la hermeticidad en posición cerrada y registrar la fuga admisible según clase de asiento,INS,2,1,A,CALENDARIO,3,HR,PARO,LOTO,INSP
VA-VB-OBT,LCP,RE,Rectificar o sustituir obturador y asiento hasta recuperar la clase de hermeticidad original,MEC,2,4,A,CALENDARIO,8,HR,PARO,LOTO,RENO
VA-VB-EMP,ELP,IO,Inspeccionar la empaquetadura en busca de fugas visibles en el paso del vástago,OPE,1,1,S,CALENDARIO,5,MIN,MARCHA,NO,INSP
VA-VB-EMP,ELP,DS,Sustituir la empaquetadura del vástago por un juego nuevo,MEC,1,3,A,CALENDARIO,3,HR,PARO,LOTO,REEM
VA-VB-VAS,STD,IVF,Verificar la carrera completa del vástago y registrar el tiempo de recorrido,INS,1,6,M,CALENDARIO,1,HR,PARO,NO,INSP
VA-AC-NEU,DOP,CBM-AMV,Registrar la firma de operación del actuador y comparar contra la referencia de puesta en marcha,PRE,1,1,A,CALENDARIO,2,HR,PARO,NO,PRED
VA-AC-RES,FTF,VO,Probar el fallo seguro cortando el aire de instrumentos; verificar que la válvula alcanza la posición segura,INS,2,1,A,CALENDARIO,2,HR,PARO,LOTO,BUSQ
VA-CM-SOL,FTF,VO,Probar el disparo de la electroválvula piloto y verificar la despresurización del actuador,INS,2,6,M,CALENDARIO,90,MIN,PARO,LOTO,BUSQ
VA-CM-POS,AIR,IVF,"Calibrar el posicionador en los puntos 0, 50 y 100% de la señal; error admisible 1%",INS,1,1,A,CALENDARIO,2,HR,PARO,NO,CALI
CO-CP-ROT,LOO,IVF,Medir caudal y presión de descarga y comparar contra los datos de placa,MEC,1,6,M,CALENDARIO,1,HR,MARCHA,NO,INSP
CO-LU-SEP,PLU,DS,Sustituir el separador aire-aceite por uno nuevo del código especificado,MEC,1,4000,HRS,USO,3,HR,PARO,LOTO,REEM
CO-CO-INT,OHE,LI,Limpiar el postenfriador hasta recuperar la temperatura de descarga de diseño,MEC,2,6,M,CALENDARIO,4,HR,PARO,LOTO,LIMP
CO-CO-INT,OHE,IO,Verificar la temperatura de descarga contra el límite del panel de control,OPE,1,1,D,CALENDARIO,5,MIN,MARCHA,NO,INSP
CO-MI-FIL,PLU,DS,Sustituir el filtro de aspiración por uno nuevo del código especificado,MEC,1,2000,HRS,USO,1,HR,PARO,NO,REEM
CO-CM-SEN,AIR,IVF,Calibrar los sensores de presión y temperatura de descarga contra patrón trazable,INS,1,1,A,CALENDARIO,2,HR,PARO,NO,CALI
